DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2016-2017 Playoffs Season,4/28/17,Mike Dunleavy,SF,Atlanta,Washington,H,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/28/17,Jose Calderon,PG,Atlanta,Washington,H,15.7,2,4,2,3,0,0,0,1,1,2,1,0,0,1,6
2016-2017 Playoffs Season,4/28/17,Mike Muscala,C,Atlanta,Washington,H,6.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
2016-2017 Playoffs Season,4/28/17,Jae Crowder,SF,Boston,Chicago,R,27.9,4,8,3,6,1,2,0,5,5,1,0,1,1,0,12
2016-2017 Playoffs Season,4/28/17,Gerald Green,SG,Boston,Chicago,R,27.4,6,13,3,8,1,1,0,2,2,3,1,0,2,0,16
2016-2017 Playoffs Season,4/28/17,Al Horford,C,Boston,Chicago,R,27,5,5,1,1,1,2,1,5,6,7,1,0,0,0,12
2016-2017 Playoffs Season,4/28/17,Avery Bradley,SG,Boston,Chicago,R,30.5,9,12,3,4,2,4,3,2,5,3,2,0,0,0,23
2016-2017 Playoffs Season,4/28/17,Isaiah Thomas,PG,Boston,Chicago,R,25.7,4,11,1,7,3,4,0,5,5,6,3,1,1,0,12
2016-2017 Playoffs Season,4/28/17,Marcus Smart,PG,Boston,Chicago,R,24.7,2,6,2,3,0,0,1,3,4,2,1,3,1,1,6
2016-2017 Playoffs Season,4/28/17,Terry Rozier,PG,Boston,Chicago,R,22.3,2,4,2,2,3,4,1,1,2,2,1,1,0,1,9
2016-2017 Playoffs Season,4/28/17,Kelly Olynyk,C,Boston,Chicago,R,19.1,3,8,0,2,0,0,1,5,6,0,3,0,1,2,6
2016-2017 Playoffs Season,4/28/17,Jonas Jerebko,PF,Boston,Chicago,R,19,1,4,1,3,0,0,0,4,4,4,1,1,2,1,3
2016-2017 Playoffs Season,4/28/17,Jaylen Brown,SF,Boston,Chicago,R,7.5,3,7,0,2,0,1,0,2,2,0,0,0,1,0,6
2016-2017 Playoffs Season,4/28/17,Tyler Zeller,C,Boston,Chicago,R,5.2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
2016-2017 Playoffs Season,4/28/17,James Young,SG,Boston,Chicago,R,3.8,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2016-2017 Playoffs Season,4/28/17,Jimmy Butler,SF,Chicago,Boston,H,31.4,9,17,0,2,5,5,2,5,7,0,1,3,3,0,23
2016-2017 Playoffs Season,4/28/17,Nikola Mirotic,PF,Chicago,Boston,H,19.9,2,4,1,3,0,0,1,1,2,1,1,0,0,0,5
2016-2017 Playoffs Season,4/28/17,Robin Lopez,C,Chicago,Boston,H,24.3,5,9,0,0,0,0,2,3,5,0,3,0,3,1,10
2016-2017 Playoffs Season,4/28/17,Dwyane Wade,SG,Chicago,Boston,H,19.2,1,10,0,2,0,0,1,2,3,3,1,1,0,0,2
2016-2017 Playoffs Season,4/28/17,Isaiah Canaan,SG,Chicago,Boston,H,25.1,3,5,1,2,2,2,0,0,0,1,1,0,1,0,9
2016-2017 Playoffs Season,4/28/17,Bobby Portis,PF,Chicago,Boston,H,30,2,7,1,2,0,0,2,9,11,2,4,1,1,0,5
2016-2017 Playoffs Season,4/28/17,Paul Zipser,SF,Chicago,Boston,H,28.3,3,9,1,3,0,0,1,4,5,1,2,0,0,0,7
2016-2017 Playoffs Season,4/28/17,Anthony Morrow,SG,Chicago,Boston,H,7.9,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
2016-2017 Playoffs Season,4/28/17,Cristiano Felicio,C,Chicago,Boston,H,4.7,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
2016-2017 Playoffs Season,4/28/17,Denzel Valentine,SG,Chicago,Boston,H,15.7,1,5,0,3,0,0,0,4,4,1,1,0,1,1,2
2016-2017 Playoffs Season,4/28/17,Joffrey Lauvergne,C,Chicago,Boston,H,15.1,1,4,0,0,6,6,2,3,5,2,0,0,1,0,8
2016-2017 Playoffs Season,4/28/17,Michael Carter-Williams,PG,Chicago,Boston,H,13.5,3,6,0,1,2,4,0,0,0,2,1,0,1,0,8
2016-2017 Playoffs Season,4/28/17,Jerian Grant,PG,Chicago,Boston,H,5.2,2,3,0,1,0,0,0,1,1,0,0,0,1,0,4
2016-2017 Playoffs Season,4/28/17,Austin Rivers,SG,LA Clippers,Utah,R,34.6,5,10,3,7,0,0,1,3,4,1,3,0,1,1,13
2016-2017 Playoffs Season,4/28/17,Luc Mbah a Moute,PF,LA Clippers,Utah,R,28.7,5,8,1,1,2,4,1,5,6,1,4,1,0,0,13
2016-2017 Playoffs Season,4/28/17,DeAndre Jordan,C,LA Clippers,Utah,R,38.3,5,8,0,0,3,11,4,14,18,1,5,0,7,0,13
2016-2017 Playoffs Season,4/28/17,JJ Redick,SG,LA Clippers,Utah,R,20.5,1,4,1,2,1,1,0,1,1,1,1,0,1,0,4
2016-2017 Playoffs Season,4/28/17,Chris Paul,PG,LA Clippers,Utah,R,37.9,10,20,2,6,7,8,0,3,3,8,4,2,4,0,29
2016-2017 Playoffs Season,4/28/17,Paul Pierce,SF,LA Clippers,Utah,R,21.7,1,3,1,2,0,0,1,2,3,1,3,0,1,0,3
2016-2017 Playoffs Season,4/28/17,Jamal Crawford,SG,LA Clippers,Utah,R,29.1,5,12,0,1,2,2,0,1,1,3,1,1,1,0,12
2016-2017 Playoffs Season,4/28/17,Marreese Speights,C,LA Clippers,Utah,R,9.7,4,6,1,1,0,0,2,0,2,0,1,0,0,1,9
2016-2017 Playoffs Season,4/28/17,Raymond Felton,PG,LA Clippers,Utah,R,19.6,1,4,0,1,0,0,1,2,3,1,2,1,1,0,2
2016-2017 Playoffs Season,4/28/17,Gordon Hayward,SF,Utah,LA Clippers,H,42.1,9,20,3,9,10,11,0,7,7,4,1,2,2,0,31
2016-2017 Playoffs Season,4/28/17,Boris Diaw,PF,Utah,LA Clippers,H,14.3,2,2,1,1,0,0,0,2,2,1,1,0,0,0,5
2016-2017 Playoffs Season,4/28/17,Rudy Gobert,C,Utah,LA Clippers,H,33.5,5,10,0,0,5,10,4,5,9,2,3,2,1,3,15
2016-2017 Playoffs Season,4/28/17,Joe Ingles,SF,Utah,LA Clippers,H,32.4,0,4,0,3,0,0,1,1,2,3,5,2,0,0,0
2016-2017 Playoffs Season,4/28/17,George Hill,PG,Utah,LA Clippers,H,31.5,8,13,1,2,5,9,1,4,5,3,3,0,0,1,22
2016-2017 Playoffs Season,4/28/17,Joe Johnson,SF,Utah,LA Clippers,H,33.8,3,9,1,4,2,3,2,1,3,3,1,0,3,0,9
2016-2017 Playoffs Season,4/28/17,Rodney Hood,SG,Utah,LA Clippers,H,24.4,2,10,0,6,0,0,0,3,3,0,3,0,1,0,4
2016-2017 Playoffs Season,4/28/17,Raul Neto,PG,Utah,LA Clippers,H,13.6,2,4,1,1,0,0,0,0,0,0,1,0,0,0,5
2016-2017 Playoffs Season,4/28/17,Derrick Favors,PF,Utah,LA Clippers,H,14.6,1,6,0,0,0,0,2,5,7,2,2,2,0,1,2
2016-2017 Playoffs Season,4/30/17,Otto Porter Jr.,SF,Washington,Boston,R,40.8,7,10,1,3,1,2,2,9,11,1,2,2,0,0,16
2016-2017 Playoffs Season,4/30/17,Markieff Morris,PF,Washington,Boston,R,11.3,2,7,0,1,1,1,1,2,3,0,0,0,0,1,5
2016-2017 Playoffs Season,4/30/17,Marcin Gortat,C,Washington,Boston,R,39.2,7,13,0,0,2,5,8,5,13,4,1,1,0,1,16
2016-2017 Playoffs Season,4/30/17,Bradley Beal,SG,Washington,Boston,R,40,9,19,4,7,5,7,0,1,1,4,4,1,3,1,27
2016-2017 Playoffs Season,4/30/17,John Wall,PG,Washington,Boston,R,39.2,9,20,1,5,1,2,0,4,4,16,1,1,8,2,20
2016-2017 Playoffs Season,4/30/17,Kelly Oubre Jr.,SF,Washington,Boston,R,26,5,8,2,4,0,0,0,1,1,0,3,0,1,2,12
2016-2017 Playoffs Season,4/30/17,Brandon Jennings,PG,Washington,Boston,R,12.8,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0
2016-2017 Playoffs Season,4/30/17,Bojan Bogdanovic,SF,Washington,Boston,R,18.8,3,5,2,3,2,3,0,3,3,1,3,1,0,0,10
2016-2017 Playoffs Season,4/30/17,Jason Smith,C,Washington,Boston,R,9.6,2,3,0,0,1,2,1,0,1,0,0,0,0,0,5
2016-2017 Playoffs Season,4/30/17,Tomas Satoransky,SG,Washington,Boston,R,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/30/17,Daniel Ochefu,C,Washington,Boston,R,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/30/17,Gerald Green,SG,Boston,Washington,H,7.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-2017 Playoffs Season,4/30/17,Jae Crowder,SF,Boston,Washington,H,35.4,8,14,6,8,2,2,2,4,6,1,3,1,0,0,24
2016-2017 Playoffs Season,4/30/17,Al Horford,C,Boston,Washington,H,35.3,10,13,1,3,0,0,5,4,9,10,3,0,2,1,21
2016-2017 Playoffs Season,4/30/17,Avery Bradley,SG,Boston,Washington,H,38.8,7,20,3,9,1,1,3,2,5,4,5,4,1,0,18
2016-2017 Playoffs Season,4/30/17,Isaiah Thomas,PG,Boston,Washington,H,38.1,11,23,5,11,6,7,0,1,1,9,0,0,2,1,33
2016-2017 Playoffs Season,4/30/17,Amir Johnson,PF,Boston,Washington,H,8.7,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0
2016-2017 Playoffs Season,4/30/17,Marcus Smart,PG,Boston,Washington,H,30.9,2,5,1,3,1,2,0,3,3,4,4,3,2,3,6
2016-2017 Playoffs Season,4/30/17,Kelly Olynyk,C,Boston,Washington,H,17.6,5,7,2,2,0,1,0,4,4,2,4,0,2,0,12
2016-2017 Playoffs Season,4/30/17,Terry Rozier,PG,Boston,Washington,H,15.1,1,3,0,2,2,2,2,6,8,1,4,0,0,1,4
2016-2017 Playoffs Season,4/30/17,Jonas Jerebko,PF,Boston,Washington,H,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/30/17,Jaylen Brown,SF,Boston,Washington,H,6.2,2,3,1,1,0,0,0,2,2,1,0,0,1,0,5
2016-2017 Playoffs Season,4/30/17,James Young,SG,Boston,Washington,H,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/30/17,Gordon Hayward,SF,Utah,LA Clippers,R,42.5,9,20,2,3,6,6,1,7,8,3,4,0,2,0,26
2016-2017 Playoffs Season,4/30/17,Boris Diaw,PF,Utah,LA Clippers,R,17.4,4,6,0,0,2,2,0,2,2,3,0,1,2,1,10
2016-2017 Playoffs Season,4/30/17,Rudy Gobert,C,Utah,LA Clippers,R,13.4,0,1,0,0,1,2,0,4,4,0,6,0,0,0,1
2016-2017 Playoffs Season,4/30/17,Joe Ingles,SF,Utah,LA Clippers,R,36.1,4,6,2,3,2,2,0,5,5,0,2,4,0,1,12
2016-2017 Playoffs Season,4/30/17,George Hill,PG,Utah,LA Clippers,R,34.9,7,13,1,2,2,2,2,2,4,5,3,0,2,0,17
2016-2017 Playoffs Season,4/30/17,Derrick Favors,PF,Utah,LA Clippers,R,29.8,8,11,0,0,1,2,4,7,11,3,6,1,0,0,17
2016-2017 Playoffs Season,4/30/17,Rodney Hood,SG,Utah,LA Clippers,R,19.8,4,6,1,3,2,3,0,3,3,1,1,1,2,0,11
2016-2017 Playoffs Season,4/30/17,Joe Johnson,SF,Utah,LA Clippers,R,30.3,4,13,0,1,2,4,2,5,7,5,1,0,0,0,10
2016-2017 Playoffs Season,4/30/17,Raul Neto,PG,Utah,LA Clippers,R,1.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/30/17,Shelvin Mack,PG,Utah,LA Clippers,R,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/30/17,Dante Exum,PG,Utah,LA Clippers,R,7.8,0,2,0,0,0,0,1,1,2,2,0,1,0,0,0
2016-2017 Playoffs Season,4/30/17,Jeff Withey,C,Utah,LA Clippers,R,2.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-2017 Playoffs Season,4/30/17,Austin Rivers,SG,LA Clippers,Utah,H,37.8,4,12,1,4,0,0,0,2,2,1,2,1,2,0,9
2016-2017 Playoffs Season,4/30/17,Luc Mbah a Moute,PF,LA Clippers,Utah,H,14.6,0,2,0,1,2,2,1,1,2,0,3,0,0,2,2
2016-2017 Playoffs Season,4/30/17,DeAndre Jordan,C,LA Clippers,Utah,H,39.5,9,12,0,0,6,15,6,11,17,1,3,0,2,0,24
2016-2017 Playoffs Season,4/30/17,JJ Redick,SG,LA Clippers,Utah,H,22.3,1,5,1,2,0,0,0,2,2,0,0,0,1,0,3
2016-2017 Playoffs Season,4/30/17,Chris Paul,PG,LA Clippers,Utah,H,40.1,6,19,1,7,0,1,0,4,4,9,2,0,3,0,13
2016-2017 Playoffs Season,4/30/17,Paul Pierce,SF,LA Clippers,Utah,H,21.5,2,4,1,3,1,1,1,2,3,1,3,1,0,0,6
2016-2017 Playoffs Season,4/30/17,Jamal Crawford,SG,LA Clippers,Utah,H,32.1,8,16,1,4,3,3,0,4,4,3,1,0,1,0,20
2016-2017 Playoffs Season,4/30/17,Raymond Felton,PG,LA Clippers,Utah,H,23.7,3,5,0,0,0,0,1,0,1,2,2,1,0,0,6
2016-2017 Playoffs Season,4/30/17,Marreese Speights,C,LA Clippers,Utah,H,8.5,2,5,1,4,3,4,1,2,3,0,3,0,1,0,8
2016-2017 Playoffs Season,5/1/17,DeMarre Carroll,SF,Toronto,Cleveland,R,15.3,1,1,1,1,0,0,1,3,4,0,1,0,0,1,3
2016-2017 Playoffs Season,5/1/17,Serge Ibaka,PF,Toronto,Cleveland,R,32.5,6,14,3,3,0,0,1,5,6,3,3,0,1,0,15
2016-2017 Playoffs Season,5/1/17,Jonas Valanciunas,C,Toronto,Cleveland,R,20.7,3,7,0,0,0,0,1,5,6,0,2,0,1,1,6
2016-2017 Playoffs Season,5/1/17,DeMar DeRozan,SG,Toronto,Cleveland,R,34.9,7,16,0,1,5,5,0,7,7,2,4,1,4,0,19
2016-2017 Playoffs Season,5/1/17,Kyle Lowry,PG,Toronto,Cleveland,R,39.7,7,13,2,4,4,4,0,2,2,11,4,1,3,0,20
2016-2017 Playoffs Season,5/1/17,PJ Tucker,SF,Toronto,Cleveland,R,25.9,6,11,1,4,0,0,3,8,11,1,2,0,1,1,13
2016-2017 Playoffs Season,5/1/17,Patrick Patterson,PF,Toronto,Cleveland,R,22.5,1,7,1,5,2,2,0,2,2,4,1,0,1,1,5
2016-2017 Playoffs Season,5/1/17,Cory Joseph,SG,Toronto,Cleveland,R,10.1,1,3,0,1,0,0,0,0,0,1,1,0,0,0,2
2016-2017 Playoffs Season,5/1/17,Norman Powell,SG,Toronto,Cleveland,R,20.6,3,11,2,7,4,7,0,2,2,0,4,2,1,0,12
2016-2017 Playoffs Season,5/1/17,Delon Wright,PG,Toronto,Cleveland,R,8,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2
2016-2017 Playoffs Season,5/1/17,Pascal Siakam,PF,Toronto,Cleveland,R,3.3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
2016-2017 Playoffs Season,5/1/17,Fred VanVleet,PG,Toronto,Cleveland,R,3.3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,6
2016-2017 Playoffs Season,5/1/17,Jakob Poeltl,C,Toronto,Cleveland,R,3.3,1,2,0,0,0,0,1,0,1,0,0,0,0,1,2
2016-2017 Playoffs Season,5/1/17,LeBron James,SF,Cleveland,Toronto,H,41,13,23,2,5,7,8,2,8,10,4,2,1,3,1,35
2016-2017 Playoffs Season,5/1/17,Kevin Love,PF,Cleveland,Toronto,H,32.2,5,13,3,6,5,6,0,9,9,1,2,2,1,1,18
2016-2017 Playoffs Season,5/1/17,Tristan Thompson,C,Cleveland,Toronto,H,38.2,3,8,0,0,5,6,4,10,14,2,3,2,0,0,11
2016-2017 Playoffs Season,5/1/17,JR Smith,SG,Cleveland,Toronto,H,22.4,2,4,2,4,0,0,0,2,2,1,2,0,0,0,6
2016-2017 Playoffs Season,5/1/17,Kyrie Irving,PG,Cleveland,Toronto,H,34.7,7,16,3,8,7,9,0,2,2,10,1,2,3,0,24
2016-2017 Playoffs Season,5/1/17,Iman Shumpert,SG,Cleveland,Toronto,H,17.5,2,5,1,2,0,0,0,4,4,3,1,0,1,0,5
2016-2017 Playoffs Season,5/1/17,Channing Frye,C,Cleveland,Toronto,H,12.4,2,5,1,3,0,0,0,0,0,0,1,0,0,1,5
2016-2017 Playoffs Season,5/1/17,Kyle Korver,SG,Cleveland,Toronto,H,17.5,2,5,2,4,0,0,1,0,1,1,2,0,1,0,6
2016-2017 Playoffs Season,5/1/17,Deron Williams,PG,Cleveland,Toronto,H,17.5,2,5,0,2,0,0,0,4,4,4,2,1,1,0,4
2016-2017 Playoffs Season,5/1/17,Derrick Williams,SF,Cleveland,Toronto,H,3.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2016-2017 Playoffs Season,5/1/17,Dahntay Jones,SF,Cleveland,Toronto,H,3,1,1,0,0,0,0,0,0,0,0,2,0,1,0,2
2016-2017 Playoffs Season,5/1/17,James Jones,SF,Cleveland,Toronto,H,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,5/1/17,Trevor Ariza,SF,Houston,San Antonio,R,31.3,7,14,5,10,4,4,1,3,4,2,2,2,2,0,23
2016-2017 Playoffs Season,5/1/17,Ryan Anderson,PF,Houston,San Antonio,R,35.2,4,12,4,10,2,2,0,6,6,3,0,2,0,1,14
2016-2017 Playoffs Season,5/1/17,Clint Capela,C,Houston,San Antonio,R,24.7,8,10,0,0,4,5,3,10,13,1,2,0,1,2,20
2016-2017 Playoffs Season,5/1/17,Patrick Beverley,SG,Houston,San Antonio,R,24.5,2,7,2,5,1,1,1,6,7,4,2,1,0,1,7
2016-2017 Playoffs Season,5/1/17,James Harden,PG,Houston,San Antonio,R,31.3,6,13,3,8,5,5,0,1,1,14,3,4,3,0,20
2016-2017 Playoffs Season,5/1/17,Eric Gordon,SG,Houston,San Antonio,R,23.6,4,8,3,6,0,0,0,3,3,4,3,1,1,0,11
2016-2017 Playoffs Season,5/1/17,Nene,C,Houston,San Antonio,R,15.9,2,4,0,0,3,3,0,5,5,0,4,1,1,0,7
2016-2017 Playoffs Season,5/1/17,Lou Williams,SG,Houston,San Antonio,R,22.5,4,8,2,4,3,3,0,3,3,0,4,1,3,1,13
2016-2017 Playoffs Season,5/1/17,Sam Dekker,SF,Houston,San Antonio,R,7.4,1,4,1,2,0,0,2,1,3,1,0,1,0,0,3
2016-2017 Playoffs Season,5/1/17,Montrezl Harrell,PF,Houston,San Antonio,R,7.4,0,0,0,0,1,2,0,2,2,0,4,0,2,0,1
2016-2017 Playoffs Season,5/1/17,Kyle Wiltjer,PF,Houston,San Antonio,R,5.4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3
2016-2017 Playoffs Season,5/1/17,Troy Williams,SF,Houston,San Antonio,R,5.4,0,2,0,2,1,2,0,1,1,0,0,0,1,0,1
2016-2017 Playoffs Season,5/1/17,Bobby Brown,PG,Houston,San Antonio,R,5.4,1,4,1,2,0,0,0,1,1,1,1,0,0,0,3
2016-2017 Playoffs Season,5/1/17,Kawhi Leonard,SF,San Antonio,Houston,H,32.2,5,14,3,7,8,8,0,11,11,6,0,0,1,1,21
2016-2017 Playoffs Season,5/1/17,LaMarcus Aldridge,PF,San Antonio,Houston,H,25.3,2,7,0,0,0,0,2,4,6,1,1,1,2,0,4
2016-2017 Playoffs Season,5/1/17,David Lee,PF,San Antonio,Houston,H,28.5,0,2,0,0,4,6,2,5,7,0,1,0,1,0,4
2016-2017 Playoffs Season,5/1/17,Danny Green,SG,San Antonio,Houston,H,21.7,3,10,2,9,0,3,1,1,2,1,3,2,4,0,8
2016-2017 Playoffs Season,5/1/17,Tony Parker,PG,San Antonio,Houston,H,22.8,3,9,1,2,4,4,0,4,4,3,1,0,2,0,11
2016-2017 Playoffs Season,5/1/17,Manu Ginobili,SG,San Antonio,Houston,H,11.9,3,7,1,2,1,1,0,1,1,1,1,1,1,0,8
2016-2017 Playoffs Season,5/1/17,Pau Gasol,C,San Antonio,Houston,H,21.5,2,3,0,1,2,2,2,4,6,1,3,2,1,0,6
2016-2017 Playoffs Season,5/1/17,Patty Mills,PG,San Antonio,Houston,H,15.8,3,7,1,3,0,1,0,1,1,0,2,0,0,0,7
2016-2017 Playoffs Season,5/1/17,Davis Bertans,PF,San Antonio,Houston,H,11.3,0,2,0,2,0,0,1,2,3,1,1,0,0,0,0
2016-2017 Playoffs Season,5/1/17,Jonathon Simmons,SG,San Antonio,Houston,H,20.6,4,11,1,3,2,3,0,0,0,1,3,0,0,0,11
2016-2017 Playoffs Season,5/1/17,Dewayne Dedmon,C,San Antonio,Houston,H,7,3,3,0,0,0,0,1,1,2,0,2,1,1,1,6
2016-2017 Playoffs Season,5/1/17,Kyle Anderson,SG,San Antonio,Houston,H,12,3,5,0,0,3,4,2,0,2,1,0,2,2,0,9
2016-2017 Playoffs Season,5/1/17,Dejounte Murray,PG,San Antonio,Houston,H,9.5,0,4,0,0,4,4,0,0,0,3,0,1,0,0,4
2016-2017 Playoffs Season,5/2/17,Otto Porter Jr.,SF,Washington,Boston,R,38.1,5,12,1,4,2,2,1,8,9,4,2,0,2,2,13
2016-2017 Playoffs Season,5/2/17,Markieff Morris,PF,Washington,Boston,R,26.8,6,11,1,2,3,3,1,5,6,3,6,2,2,1,16
2016-2017 Playoffs Season,5/2/17,Marcin Gortat,C,Washington,Boston,R,41.6,6,8,0,0,2,4,4,6,10,3,6,1,2,2,14
2016-2017 Playoffs Season,5/2/17,Bradley Beal,SG,Washington,Boston,R,47.3,4,15,1,9,5,6,2,3,5,4,1,1,6,0,14
2016-2017 Playoffs Season,5/2/17,John Wall,PG,Washington,Boston,R,47.1,16,32,3,10,5,7,1,2,3,13,3,3,4,3,40
2016-2017 Playoffs Season,5/2/17,Kelly Oubre Jr.,SF,Washington,Boston,R,27.8,5,11,2,4,0,0,3,4,7,0,5,0,0,0,12
2016-2017 Playoffs Season,5/2/17,Jason Smith,C,Washington,Boston,R,16.4,4,6,2,2,0,0,0,1,1,1,3,0,1,2,10
2016-2017 Playoffs Season,5/2/17,Brandon Jennings,PG,Washington,Boston,R,11.7,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0
2016-2017 Playoffs Season,5/2/17,Bojan Bogdanovic,SF,Washington,Boston,R,8.4,0,2,0,2,0,0,0,2,2,0,2,0,0,0,0
2016-2017 Playoffs Season,5/2/17,Jae Crowder,SF,Boston,Washington,H,41,4,9,0,3,6,9,2,5,7,4,2,1,1,2,14
2016-2017 Playoffs Season,5/2/17,Amir Johnson,PF,Boston,Washington,H,4.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2016-2017 Playoffs Season,5/2/17,Al Horford,C,Boston,Washington,H,42.5,6,9,1,3,2,2,3,9,12,3,4,1,3,2,15
2016-2017 Playoffs Season,5/2/17,Avery Bradley,SG,Boston,Washington,H,35.1,6,16,2,7,0,0,2,2,4,1,2,3,3,1,14
2016-2017 Playoffs Season,5/2/17,Isaiah Thomas,PG,Boston,Washington,H,44.6,18,33,5,12,12,13,1,3,4,4,2,3,2,0,53
2016-2017 Playoffs Season,5/2/17,Kelly Olynyk,C,Boston,Washington,H,21.1,3,3,2,2,0,0,1,1,2,3,3,0,3,0,8
2016-2017 Playoffs Season,5/2/17,Marcus Smart,PG,Boston,Washington,H,39.3,3,7,1,4,2,6,3,1,4,5,3,2,3,1,9
2016-2017 Playoffs Season,5/2/17,Terry Rozier,PG,Boston,Washington,H,25.1,3,8,2,5,4,4,0,6,6,4,1,1,0,0,12
2016-2017 Playoffs Season,5/2/17,Jaylen Brown,SF,Boston,Washington,H,11.7,2,3,0,0,0,0,0,2,2,2,3,0,0,0,4
2016-2017 Playoffs Season,5/2/17,Gordon Hayward,SF,Utah,Golden State,R,34.5,4,15,2,9,2,2,0,4,4,4,2,2,1,1,12
2016-2017 Playoffs Season,5/2/17,Joe Johnson,SF,Utah,Golden State,R,22.4,4,10,3,6,0,0,1,4,5,2,2,0,2,0,11
2016-2017 Playoffs Season,5/2/17,Rudy Gobert,C,Utah,Golden State,R,30.6,5,7,0,0,3,6,2,6,8,3,3,1,2,2,13
2016-2017 Playoffs Season,5/2/17,Joe Ingles,SF,Utah,Golden State,R,23.3,2,5,1,3,0,0,0,2,2,4,0,0,2,0,5
2016-2017 Playoffs Season,5/2/17,George Hill,PG,Utah,Golden State,R,27.8,3,9,1,3,0,0,2,2,4,3,2,0,1,0,7
2016-2017 Playoffs Season,5/2/17,Rodney Hood,SG,Utah,Golden State,R,22.7,6,12,0,4,0,0,0,5,5,1,5,0,1,0,12
2016-2017 Playoffs Season,5/2/17,Boris Diaw,PF,Utah,Golden State,R,20,1,2,0,0,2,2,1,1,2,1,2,1,2,1,4
2016-2017 Playoffs Season,5/2/17,Derrick Favors,PF,Utah,Golden State,R,12.1,2,5,0,0,0,0,2,3,5,0,0,0,0,0,4
2016-2017 Playoffs Season,5/2/17,Shelvin Mack,PG,Utah,Golden State,R,21,2,7,0,1,2,2,0,7,7,4,1,1,1,0,6
2016-2017 Playoffs Season,5/2/17,Dante Exum,PG,Utah,Golden State,R,11.9,3,3,1,1,0,0,0,0,0,2,0,1,0,0,7
2016-2017 Playoffs Season,5/2/17,Trey Lyles,PF,Utah,Golden State,R,5.6,3,4,1,2,0,0,0,1,1,1,1,1,1,0,7
2016-2017 Playoffs Season,5/2/17,Joel Bolomboy,PF,Utah,Golden State,R,5.3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,4
2016-2017 Playoffs Season,5/2/17,Raul Neto,PG,Utah,Golden State,R,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2016-2017 Playoffs Season,5/2/17,Kevin Durant,SF,Golden State,Utah,H,31,7,17,1,2,2,2,1,4,5,5,2,1,1,0,17
2016-2017 Playoffs Season,5/2/17,Draymond Green,PF,Golden State,Utah,H,34.2,5,10,2,5,5,7,0,8,8,6,2,2,0,2,17
2016-2017 Playoffs Season,5/2/17,Zaza Pachulia,C,Golden State,Utah,H,14,3,4,0,0,4,4,0,1,1,0,2,0,1,1,10
2016-2017 Playoffs Season,5/2/17,Klay Thompson,SG,Golden State,Utah,H,30.6,6,13,3,8,0,0,0,2,2,2,2,0,0,0,15
2016-2017 Playoffs Season,5/2/17,Stephen Curry,PG,Golden State,Utah,H,30,7,11,1,4,7,7,1,6,7,5,1,1,4,0,22
2016-2017 Playoffs Season,5/2/17,JaVale McGee,C,Golden State,Utah,H,10,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2
2016-2017 Playoffs Season,5/2/17,Andre Iguodala,SF,Golden State,Utah,H,23.6,2,8,0,6,0,0,1,2,3,5,3,1,0,1,4
2016-2017 Playoffs Season,5/2/17,Shaun Livingston,PG,Golden State,Utah,H,20.3,4,5,0,0,1,1,2,3,5,1,2,1,1,1,9
2016-2017 Playoffs Season,5/2/17,Ian Clark,SG,Golden State,Utah,H,18,3,6,0,2,0,0,0,2,2,0,0,0,0,0,6
